state,year,12_17,18_25,26_plus,se_12_17,se_18_25,se_26_plus,rml
Alabama,2007,5.41,11.25,3.25,0.7066326530612244,2.510204081632653,0.5229591836734694,never
Alaska,2007,7.95,19.15,6.04,0.8877551020408162,4.1607142857142865,0.826530612244898,before
Arizona,2007,6.02,15.14,3.53,0.7168367346938777,3.4387755102040813,0.5178571428571428,never
Arkansas,2007,6.69,15.3,4.15,0.7551020408163265,3.2908163265306127,0.5637755102040818,never
California,2007,6.83,16.97,4.54,0.47959183673469385,3.211734693877551,0.39285714285714285,before
Colorado,2007,8.15,22.21,5.88,0.8775510204081631,4.8903061224489806,0.7602040816326532,before
Connecticut,2007,7.51,20.14,3.91,0.8316326530612247,4.512755102040817,0.5561224489795917,never
Delaware,2007,6.83,18.82,4.06,0.790816326530612,4.336734693877551,0.5892857142857143,never
Florida,2007,6.9,17.4,3.57,0.4668367346938776,3.326530612244898,0.33418367346938777,never
Georgia,2007,5.72,14.24,4.22,0.6989795918367347,3.2653061224489797,0.6275510204081632,never
Hawaii,2007,6.93,15.56,3.58,0.8775510204081631,3.4540816326530615,0.5484693877551019,never
Idaho,2007,6.11,13.99,3.64,0.7193877551020409,3.086734693877551,0.5510204081632654,never
Illinois,2007,6.14,15.51,3.55,0.43112244897959195,3.033163265306122,0.33418367346938765,never
Indiana,2007,7.36,16.19,4.06,0.7551020408163268,3.318877551020408,0.5408163265306123,never
Iowa,2007,5.57,10.46,2.41,0.6862244897959184,2.25,0.3903061224489796,never
Kansas,2007,6.97,14.67,3.71,0.7806122448979593,3.1377551020408165,0.5280612244897959,never
Kentucky,2007,7.06,17.08,3.85,0.801020408163265,3.6709183673469385,0.5510204081632654,never
Louisiana,2007,5.76,13.89,3.66,0.7142857142857145,3.114795918367347,0.5433673469387755,never
Maine,2007,9.83,26.27,5.55,1.0153061224489797,5.596938775510204,0.7474489795918369,before
Maryland,2007,5.78,15.86,3.18,0.7117346938775511,3.6581632653061225,0.4923469387755103,never
Massachusetts,2007,8.68,23.28,5.15,0.9489795918367349,5.099489795918367,0.6760204081632653,before
Michigan,2007,7.56,18.59,4.97,0.48724489795918374,3.469387755102041,0.39285714285714285,never
Minnesota,2007,7.09,20.1,5,0.7882653061224487,4.551020408163265,0.6683673469387754,never
Mississippi,2007,4.72,11.87,3.22,0.6275510204081631,2.8316326530612246,0.5178571428571428,never
Missouri,2007,6.41,14.18,3.92,0.729591836734694,3.0357142857142865,0.5433673469387755,never
Montana,2007,9.51,22.07,6.25,0.9183673469387756,4.533163265306122,0.7551020408163265,never
Nebraska,2007,5.52,13.9,3.31,0.6785714285714286,3.2066326530612246,0.5102040816326531,never
Nevada,2007,6.97,14.07,4.71,0.8392857142857141,3.020408163265306,0.6811224489795918,before
New Hampshire,2007,8.66,26.08,5.4,0.9285714285714287,5.813775510204081,0.6938775510204082,never
New Jersey,2007,5.75,14.8,2.99,0.6913265306122449,3.428571428571429,0.4591836734693876,never
New Mexico,2007,8.73,19.18,4.44,0.9770408163265306,3.984693877551021,0.6479591836734694,never
New York,2007,7.37,20,4.55,0.4923469387755104,3.941326530612246,0.38265306122448994,never
North Carolina,2007,6.22,15.03,3.59,0.6760204081632654,3.308673469387755,0.5204081632653061,never
North Dakota,2007,5.05,12.23,3.35,0.6505102040816327,2.808673469387755,0.5357142857142856,never
Ohio,2007,7.33,17.39,3.99,0.47704081632653067,3.1989795918367347,0.3367346938775511,never
Oklahoma,2007,6.15,12.58,3.69,0.7704081632653063,2.770408163265306,0.5841836734693878,never
Oregon,2007,7.83,18.62,5.83,0.857142857142857,3.982142857142857,0.7219387755102041,before
Pennsylvania,2007,6.42,14.9,3.3,0.4285714285714285,2.762755102040817,0.30357142857142866,never
Rhode Island,2007,9.74,30.12,6.7,0.9897959183673469,6.668367346938775,0.8163265306122449,never
South Carolina,2007,5.23,13.64,3.32,0.6530612244897961,3.153061224489796,0.4897959183673469,never
South Dakota,2007,5.76,14.35,3.55,0.6836734693877553,3.244897959183674,0.5204081632653061,never
Tennessee,2007,6.2,16.13,4.02,0.670918367346939,3.5969387755102047,0.5331632653061226,never
Texas,2007,5.47,11.08,2.76,0.41581632653061223,1.989795918367347,0.27295918367346933,never
Utah,2007,4.39,9.95,2.68,0.6275510204081634,2.3392857142857144,0.47704081632653067,never
Vermont,2007,10.98,29.36,6.7,1.0892857142857146,6.117346938775509,0.8239795918367349,never
Virginia,2007,7.75,18.45,4.46,0.829081632653061,3.9336734693877546,0.5714285714285714,never
Washington,2007,7.38,19.03,5.55,0.7933673469387756,4.107142857142858,0.7117346938775511,before
West Virginia,2007,6.41,15.9,3.54,0.7219387755102041,3.5051020408163263,0.5076530612244897,never
Wisconsin,2007,7.07,16.48,3.88,0.7219387755102039,3.4999999999999996,0.5357142857142856,never
Wyoming,2007,8.11,18.11,4.67,0.8137755102040816,3.7168367346938775,0.6173469387755101,never
Alabama,2008,5.23,12.92,3.06,0.6454081632653059,2.961734693877551,0.49234693877551017,never
Alaska,2008,8.03,20.24,7.28,0.926020408163265,4.525510204081633,1.0459183673469388,before
Arizona,2008,6.54,16.08,3.96,0.7500000000000001,3.6556122448979598,0.635204081632653,never
Arkansas,2008,5.71,15.46,3.82,0.6811224489795921,3.5892857142857144,0.614795918367347,never
California,2008,6.86,17.27,4.64,0.4591836734693877,3.3061224489795915,0.4260204081632653,before
Colorado,2008,9.1,23.44,6.88,0.9464285714285712,5.025510204081632,0.910714285714286,before
Connecticut,2008,7.77,19.72,4.24,0.8520408163265306,4.298469387755103,0.6403061224489796,never
Delaware,2008,7.21,22.03,4.61,0.8188775510204084,5.084183673469388,0.7270408163265306,never
Florida,2008,6.53,15.61,4,0.48724489795918374,2.979591836734694,0.3979591836734693,never
Georgia,2008,5.4,14.69,3.8,0.6505102040816328,3.438775510204082,0.5765306122448979,never
Hawaii,2008,7.07,17.19,5.03,0.8775510204081634,3.8801020408163267,0.8418367346938775,never
Idaho,2008,6.97,14.5,3.98,0.7244897959183674,3.0051020408163267,0.5892857142857143,never
Illinois,2008,6.21,14.57,3.68,0.43367346938775514,2.734693877551021,0.34948979591836726,never
Indiana,2008,7.55,16.87,4.29,0.798469387755102,3.51530612244898,0.6683673469387755,never
Iowa,2008,5.02,8.52,2.05,0.6377551020408163,1.788265306122449,0.38775510204081637,never
Kansas,2008,6.21,13.38,3.35,0.7117346938775511,2.890306122448979,0.568877551020408,never
Kentucky,2008,6.42,15.87,3.9,0.729591836734694,3.5459183673469385,0.5790816326530613,never
Louisiana,2008,5.23,13.62,3.3,0.6479591836734694,3.1785714285714284,0.5535714285714286,never
Maine,2008,9.06,23.36,5.93,0.9515306122448979,5.002551020408164,0.8239795918367349,before
Maryland,2008,6.26,16.42,3.38,0.7168367346938774,3.6683673469387754,0.5790816326530613,never
Massachusetts,2008,8.11,21.97,4.39,0.9081632653061226,4.923469387755102,0.6887755102040817,before
Michigan,2008,7.36,19.2,4.91,0.4846938775510203,3.6760204081632653,0.42346938775510184,never
Minnesota,2008,6.61,20.87,4.8,0.7576530612244897,4.862244897959183,0.7321428571428571,never
Mississippi,2008,4.47,11.4,3.03,0.5816326530612246,2.7448979591836737,0.5357142857142857,never
Missouri,2008,6.29,15.32,3.67,0.7219387755102041,3.3979591836734695,0.5714285714285715,never
Montana,2008,8.6,22.87,5.79,0.8750000000000002,4.969387755102041,0.7831632653061223,never
Nebraska,2008,6.24,13.51,3.16,0.7117346938775511,2.9617346938775513,0.5408163265306122,never
Nevada,2008,7.52,16.35,4.51,0.8647959183673471,3.5000000000000004,0.7193877551020409,before
New Hampshire,2008,9.42,26.46,6.32,0.9387755102040816,5.788265306122448,0.8367346938775511,never
New Jersey,2008,5.7,15.95,3.04,0.6785714285714286,3.7397959183673475,0.5357142857142856,never
New Mexico,2008,8.19,16.35,3.99,0.8877551020408162,3.336734693877551,0.6479591836734694,never
New York,2008,7.81,21.31,4.29,0.5,4.165816326530613,0.413265306122449,never
North Carolina,2008,6.85,16.5,4.2,0.6989795918367345,3.6224489795918364,0.6249999999999999,never
North Dakota,2008,5.29,11.52,3.48,0.6454081632653061,2.556122448979592,0.5943877551020409,never
Ohio,2008,7.38,16.84,3.84,0.4668367346938776,3.048469387755102,0.3724489795918366,never
Oklahoma,2008,5.97,11.56,3.38,0.760204081632653,2.522959183673469,0.586734693877551,never
Oregon,2008,8.22,21.9,6.58,0.8443877551020408,4.732142857142858,0.9005102040816327,before
Pennsylvania,2008,6.37,14.02,3.07,0.4362244897959184,2.5306122448979593,0.31887755102040816,never
Rhode Island,2008,9.46,30.31,7.48,0.9515306122448981,6.801020408163266,1.012755102040816,never
South Carolina,2008,5.48,13.56,3.52,0.6454081632653061,3.137755102040816,0.548469387755102,never
South Dakota,2008,6.05,14.3,3.45,0.7448979591836735,3.2091836734693877,0.5918367346938775,never
Tennessee,2008,6.17,16.84,4.08,0.6862244897959184,3.844387755102041,0.5841836734693878,never
Texas,2008,5.73,11.73,2.86,0.4209183673469389,2.096938775510204,0.3137755102040816,never
Utah,2008,5.05,9.86,2.74,0.6479591836734693,2.198979591836735,0.46683673469387754,never
Vermont,2008,10.86,29.64,6.92,1.073979591836735,6.290816326530614,0.9107142857142858,never
Virginia,2008,6.78,16.54,3.85,0.7627551020408164,3.686224489795918,0.5943877551020408,never
Washington,2008,7.17,17.32,5.83,0.8214285714285714,3.75765306122449,0.8520408163265306,before
West Virginia,2008,6.2,14.27,3.26,0.7066326530612246,3.1632653061224487,0.5255102040816327,never
Wisconsin,2008,7.25,18.03,4.4,0.7780612244897959,3.869897959183673,0.6479591836734694,never
Wyoming,2008,7.26,15.23,3.67,0.7857142857142855,3.1989795918367347,0.6173469387755103,never
Alabama,2009,5.69,14.48,3.38,0.7499999999999999,3.313775510204082,0.5255102040816325,never
Alaska,2009,9.18,25.21,9.31,1.0892857142857142,5.5433673469387745,1.153061224489796,before
Arizona,2009,7.26,17.07,4.86,0.9362244897959185,3.7908163265306123,0.7602040816326532,never
Arkansas,2009,6.69,16.1,4.36,0.8290816326530612,3.5765306122448983,0.6479591836734694,never
California,2009,7.68,18.67,5.57,0.5408163265306123,3.5102040816326525,0.47448979591836743,before
Colorado,2009,10.19,24.31,7.36,1.1326530612244896,5.071428571428571,0.997448979591837,before
Connecticut,2009,8.37,22.52,4.68,0.9999999999999998,4.9770408163265305,0.7295918367346937,never
Delaware,2009,7.49,22.54,4.33,0.9413265306122448,5.224489795918367,0.7219387755102041,never
Florida,2009,6.28,15.13,4.36,0.5102040816326531,2.9183673469387754,0.43367346938775514,never
Georgia,2009,5.49,15.88,4.47,0.7551020408163265,3.7959183673469385,0.7066326530612244,never
Hawaii,2009,7.75,19.08,6.87,1.0892857142857144,4.369897959183675,0.9897959183673471,never
Idaho,2009,7.44,14.13,4.25,0.8673469387755103,2.8392857142857144,0.6403061224489796,never
Illinois,2009,7.26,16.16,3.86,0.5178571428571429,2.933673469387755,0.35969387755102045,never
Indiana,2009,7.23,16.47,4.21,0.8826530612244898,3.596938775510204,0.6249999999999999,never
