state,year,12_17,18_25,26_plus,se_12_17,se_18_25,se_26_plus,rml
Alabama,2007,14.93,52.05,41.04,1.1607142857142858,10.994897959183673,1.8852040816326532,never
Alaska,2007,15,61.2,58.84,1.1530612244897953,13.323979591836734,1.9897959183673462,before
Arizona,2007,16.48,58.62,55.52,1.2474489795918369,12.326530612244898,1.9464285714285703,never
Arkansas,2007,17.03,54.85,45.26,1.198979591836735,11.198979591836734,2.025510204081632,never
California,2007,15.53,58.58,52.83,0.6683673469387758,11.836734693877553,1.0918367346938778,before
Colorado,2007,17.9,69.41,63.57,1.2372448979591841,14.596938775510203,1.8647959183673475,before
Connecticut,2007,19.6,71.91,66.21,1.3137755102040822,14.880102040816329,1.8979591836734688,never
Delaware,2007,15.66,65.46,57.13,1.1709183673469388,14.188775510204083,2.0535714285714297,never
Florida,2007,16.73,59.3,55.85,0.7551020408163268,11.744897959183675,1.1147959183673481,never
Georgia,2007,14.39,53.8,49.61,1.1020408163265307,11.576530612244898,1.9438775510204076,never
Hawaii,2007,13.82,61.05,50.18,1.1989795918367345,13.594387755102042,2.130102040816327,never
Idaho,2007,14.12,52.03,44.83,1.1096938775510203,11.211734693877553,1.9897959183673462,never
Illinois,2007,16.44,65.28,55.55,0.7117346938775508,13.313775510204081,1.1147959183673464,never
Indiana,2007,14.83,60.78,52.96,1.0739795918367345,13.102040816326529,1.9362244897959175,never
Iowa,2007,17.11,65.85,54.9,1.1887755102040813,13.880102040816327,1.9081632653061218,never
Kansas,2007,18.07,66.45,54.56,1.267857142857143,13.908163265306122,1.9974489795918382,never
Kentucky,2007,15.98,57.81,42.01,1.1658163265306118,12.170918367346939,1.931122448979592,never
Louisiana,2007,16.81,60.05,52.77,1.2321428571428572,12.584183673469388,2.035714285714287,never
Maine,2007,17.74,66.44,55.52,1.2653061224489799,13.915816326530612,2.038265306122448,before
Maryland,2007,15.65,65.89,57.22,1.130102040816326,14.278061224489797,1.9005102040816315,never
Massachusetts,2007,18.53,72.03,63.54,1.3367346938775506,15.145408163265307,1.895408163265308,before
Michigan,2007,16.15,67.68,58.7,0.7142857142857145,13.984693877551022,1.0433673469387745,never
Minnesota,2007,17.23,72.94,64.33,1.2984693877551026,15.67857142857143,2.002551020408162,never
Mississippi,2007,12.27,47.87,38.53,1.0306122448979589,10.584183673469388,1.9005102040816335,never
Missouri,2007,16.28,63.43,52.67,1.2244897959183672,13.497448979591836,1.9591836734693877,never
Montana,2007,18.81,68.17,57.92,1.2474489795918369,14.051020408163264,1.8673469387755104,never
Nebraska,2007,18.03,68.37,55.06,1.209183673469388,14.316326530612246,2.058673469387755,never
Nevada,2007,14.87,59.68,55.57,1.2117346938775506,12.989795918367347,2.2142857142857144,before
New Hampshire,2007,18.12,73.6,65.73,1.2219387755102042,15.543367346938776,1.8750000000000004,never
New Jersey,2007,18.07,65.5,58.34,1.285714285714286,13.658163265306124,1.9719387755102034,never
New Mexico,2007,16.82,58.88,45.7,1.2704081632653061,12.321428571428571,2.1173469387755115,never
New York,2007,19.05,65.18,58.05,0.8265306122448975,12.698979591836736,1.1556122448979578,never
North Carolina,2007,13.98,53.4,44.05,1.0535714285714293,11.528061224489795,2.0306122448979593,never
North Dakota,2007,21.03,75.74,62.2,1.3979591836734686,15.41581632653061,2.094387755102041,never
Ohio,2007,18.01,65.98,53.16,0.7168367346938781,13.063775510204081,1.0765306122448977,never
Oklahoma,2007,14.35,55.33,43.96,1.2142857142857142,12.09438775510204,2.112244897959184,never
Oregon,2007,17.36,61.71,59.44,1.2780612244897964,12.85204081632653,1.8673469387755104,before
Pennsylvania,2007,16.28,63.28,55.53,0.6887755102040819,12.821428571428573,1.063775510204082,never
Rhode Island,2007,21.62,75.02,66,1.403061224489796,15.127551020408163,1.8647959183673475,never
South Carolina,2007,14.46,57.99,49.19,1.11734693877551,12.609693877551022,1.920918367346939,never
South Dakota,2007,18.74,72.44,60.23,1.2984693877551021,15.17091836734694,1.9260204081632664,never
Tennessee,2007,13.43,52.18,41.71,1.086734693877551,11.403061224489797,1.9897959183673462,never
Texas,2007,14.78,57.75,50.54,0.6887755102040815,11.826530612244898,1.0867346938775524,never
Utah,2007,9.85,35.62,33.22,1.086734693877551,8.11734693877551,1.9872448979591826,never
Vermont,2007,21.17,71.44,62.92,1.4209183673469388,14.339285714285717,1.9948979591836735,never
Virginia,2007,15.89,65.06,55.57,1.1505102040816326,13.997448979591836,1.9693877551020407,never
Washington,2007,17.87,65.31,57.34,1.275510204081633,13.573979591836736,1.9795918367346934,before
West Virginia,2007,15.16,54.36,36.85,1.1479591836734695,11.510204081632654,1.8954081632653061,never
Wisconsin,2007,19.52,72.6,65.14,1.3010204081632657,14.964285714285714,1.8622448979591848,never
Wyoming,2007,20.36,70.96,58.27,1.331632653061225,14.390306122448983,1.9897959183673462,never
Alabama,2008,13.01,52.32,41.88,1.0969387755102042,11.520408163265307,1.9413265306122447,never
