state,year,12_17,18_25,26_plus,se_12_17,se_18_25,se_26_plus,rml
Alabama,2007,16.38,47.7,34.42,1.3137755102040818,9.553571428571429,1.678571428571429,never
Alaska,2007,13.99,46.52,29.68,1.186224489795918,9.88265306122449,1.6760204081632655,before
Arizona,2007,12.41,42.29,28.65,1.1581632653061222,9.191326530612246,1.5816326530612252,never
Arkansas,2007,16.42,49.61,35.57,1.3214285714285718,10.058673469387756,1.6811224489795908,never
California,2007,8.73,33.55,22.68,0.5943877551020411,7.119897959183674,0.8877551020408164,before
Colorado,2007,14.96,49.24,28.36,1.1964285714285718,10.275510204081634,1.4693877551020413,before
Connecticut,2007,12.45,46.32,24.89,1.135204081632653,10.168367346938776,1.533163265306122,never
Delaware,2007,11.07,40.43,28.33,1.0357142857142858,8.948979591836734,1.5535714285714286,never
Florida,2007,11.65,41.22,29.04,0.6454081632653065,8.36734693877551,0.9311224489795915,never
Georgia,2007,13.63,43.77,31.07,1.1301020408163265,9.232142857142856,1.6658163265306125,never
Hawaii,2007,9.72,38.71,22.07,1.0612244897959184,8.920918367346939,1.5816326530612244,never
Idaho,2007,11.19,38.78,25.28,1.0510204081632655,8.528061224489797,1.5051020408163271,never
Illinois,2007,12.64,44.83,29.56,0.6530612244897961,9.056122448979592,0.9183673469387759,never
Indiana,2007,14.7,49.07,33.32,1.204081632653061,10.25,1.5892857142857135,never
Iowa,2007,14.53,43.38,30.23,1.191326530612245,8.89030612244898,1.5433673469387765,never
Kansas,2007,15.37,49.5,31.3,1.252551020408163,10.316326530612246,1.617346938775511,never
Kentucky,2007,19.95,56.78,36.2,1.4387755102040818,11.00765306122449,1.7091836734693866,never
Louisiana,2007,13.41,44.8,33.11,1.135204081632653,9.479591836734693,1.7806122448979584,never
Maine,2007,13.44,46.96,30.51,1.1836734693877553,10.03826530612245,1.7244897959183678,before
Maryland,2007,10.47,38.85,25.95,1.017857142857143,8.670918367346939,1.4591836734693884,never
Massachusetts,2007,13.21,42.7,25.08,1.1658163265306123,9.043367346938775,1.530612244897959,before
Michigan,2007,13.22,47.18,30.1,0.6785714285714286,9.507653061224492,0.926020408163266,never
Minnesota,2007,14.57,50.34,29.51,1.1760204081632657,10.645408163265305,1.5739795918367343,never
Mississippi,2007,11.86,44.17,33.37,1.0382653061224492,9.72704081632653,1.6352040816326532,never
Missouri,2007,13.94,47.64,33.94,1.204081632653061,10.051020408163264,1.5892857142857135,never
Montana,2007,16.54,49.94,29.53,1.2959183673469383,10.091836734693878,1.5612244897959187,never
Nebraska,2007,13.17,45.1,29.03,1.13265306122449,9.683673469387756,1.6556122448979598,never
Nevada,2007,11.78,41.04,30.27,1.1887755102040818,9.017857142857144,1.7091836734693877,before
New Hampshire,2007,12.55,46.9,25.77,1.137755102040816,10.247448979591836,1.464285714285714,never
New Jersey,2007,11.58,42.14,25.2,1.1505102040816326,9.354591836734695,1.5484693877551021,never
New Mexico,2007,14.85,47.23,26.65,1.2806122448979596,9.862244897959185,1.627551020408164,never
New York,2007,10.28,37.87,25.16,0.6147959183673465,7.849489795918366,0.9183673469387759,never
North Carolina,2007,13.44,43.68,31.22,1.1071428571428572,9.14030612244898,1.6836734693877546,never
North Dakota,2007,15.17,47.52,28.74,1.2831632653061222,9.813775510204081,1.6556122448979598,never
Ohio,2007,16.43,52.15,33.57,0.7423469387755107,9.974489795918368,0.9540816326530609,never
Oklahoma,2007,16.16,48.38,36.76,1.4081632653061225,9.956632653061225,1.7499999999999998,never
Oregon,2007,13.42,40.12,27.16,1.1862244897959184,8.359693877551022,1.4821428571428568,before
Pennsylvania,2007,14.38,45.11,29.95,0.7066326530612244,8.721938775510203,0.9030612244897958,never
Rhode Island,2007,14.49,48.1,28.5,1.260204081632653,10.183673469387756,1.5816326530612244,never
South Carolina,2007,14.23,47.6,33.75,1.147959183673469,9.987244897959183,1.7091836734693877,never
South Dakota,2007,15.78,49.82,30.19,1.2397959183673468,10.244897959183673,1.507653061224489,never
Tennessee,2007,16.06,48.86,36,1.198979591836735,9.90561224489796,1.6581632653061225,never
Texas,2007,11.35,39.89,30.19,0.6122448979591838,8.073979591836736,0.9770408163265311,never
Utah,2007,8.06,27.62,20.01,0.9872448979591835,6.387755102040816,1.4336734693877544,never
Vermont,2007,15.09,48.89,28.02,1.3188775510204083,10.17857142857143,1.6403061224489794,never
Virginia,2007,12.51,44.7,27.66,1.0484693877551023,9.683673469387756,1.4744897959183676,never
Washington,2007,13.17,41.47,26.33,1.1224489795918364,8.706632653061224,1.5076530612244898,before
West Virginia,2007,16.38,52.04,38.08,1.316326530612245,10.676020408163266,1.732142857142857,never
Wisconsin,2007,15.35,48.68,31.75,1.2117346938775515,10.053571428571429,1.6581632653061233,never
Wyoming,2007,21.21,55.28,35.31,1.530612244897959,10.364795918367347,1.7372448979591835,never
Alabama,2008,14.67,47.45,32.5,1.1887755102040818,9.864795918367347,1.678571428571429,never
Alaska,2008,13.56,44.74,29.26,1.1836734693877549,9.60204081632653,1.7117346938775504,before
Arizona,2008,11.07,41.26,27.86,1.0280612244897958,9.26530612244898,1.6275510204081631,never
Arkansas,2008,14.87,48.56,36.52,1.142857142857143,10.125,1.7500000000000018,never
California,2008,8.36,33.03,22.54,0.5561224489795917,7.058673469387755,0.9234693877551015,before
Colorado,2008,14.07,48.19,29.07,1.173469387755102,10.252551020408163,1.6326530612244903,before
Connecticut,2008,11.47,42.95,25.79,1.0714285714285716,9.5,1.5102040816326525,never
Delaware,2008,12.39,43.92,30.27,1.0714285714285716,9.522959183673471,1.7729591836734693,never
Florida,2008,11.4,40.34,28.76,0.6249999999999998,8.2015306122449,0.9668367346938782,never
Georgia,2008,13.37,42.28,32.07,1.2193877551020407,8.923469387755103,1.747448979591838,never
Hawaii,2008,10.04,38.82,23.47,1.0714285714285712,8.877551020408163,1.6403061224489794,never
Idaho,2008,10.75,37.84,25.18,0.9591836734693877,8.311224489795919,1.410714285714286,never
Illinois,2008,12.92,44.25,29.34,0.6326530612244899,8.81122448979592,0.9770408163265302,never
Indiana,2008,15.11,47.51,32.82,1.186224489795918,9.74234693877551,1.6122448979591846,never
Iowa,2008,12.58,41.5,28.6,1.0433673469387754,8.816326530612244,1.5204081632653064,never
Kansas,2008,13.23,49.31,29.28,1.1301020408163265,10.801020408163264,1.6428571428571432,never
Kentucky,2008,18.01,54.37,38.51,1.334183673469388,10.836734693877553,1.747448979591837,never
Louisiana,2008,11.57,41.51,31.3,0.9948979591836736,9.063775510204081,1.6479591836734688,never
Maine,2008,12.7,46.3,29.5,1.125,10.061224489795919,1.6607142857142851,before
Maryland,2008,9.37,36.79,25.47,0.9030612244897958,8.364795918367347,1.558673469387755,never
Massachusetts,2008,10.74,39.11,23.45,0.9974489795918368,8.691326530612246,1.5484693877551021,before
Michigan,2008,13.07,45.72,29.95,0.6505102040816328,9.125,0.961734693877551,never
Minnesota,2008,13.76,49.23,28.57,1.0816326530612246,10.535714285714285,1.5714285714285714,never
Mississippi,2008,11.18,41.9,32.09,0.9872448979591835,9.224489795918366,1.6403061224489794,never
Missouri,2008,13.9,47.06,32.57,1.1658163265306123,9.956632653061225,1.5637755102040822,never
Montana,2008,15.46,48.81,29.03,1.1887755102040822,10.043367346938775,1.489795918367347,never
Nebraska,2008,13.35,43.8,28.45,1.1403061224489799,9.354591836734695,1.60204081632653,never
Nevada,2008,11.75,40.22,30.54,1.1454081632653061,8.813775510204083,1.8367346938775508,before
New Hampshire,2008,12.34,42.8,26.18,1.0459183673469388,9.306122448979592,1.464285714285714,never
New Jersey,2008,9.67,37.1,25.92,0.9617346938775512,8.423469387755102,1.7448979591836735,never
New Mexico,2008,13.08,43.9,25.56,1.11734693877551,9.369897959183675,1.5433673469387756,never
New York,2008,10.41,38.35,23.66,0.602040816326531,7.9438775510204085,0.9336734693877552,never
North Carolina,2008,13.56,43.99,31.87,1.076530612244898,9.285714285714286,1.7423469387755106,never
North Dakota,2008,14.64,49.55,27.73,1.142857142857143,10.420918367346939,1.5816326530612252,never
Ohio,2008,14.76,51.04,33.54,0.6581632653061229,10.061224489795919,0.9464285714285716,never
Oklahoma,2008,14.51,46.63,33.21,1.275510204081633,9.864795918367347,1.7806122448979593,never
Oregon,2008,14.38,42.37,29.81,1.1683673469387756,8.558673469387754,1.6836734693877546,before
Pennsylvania,2008,13.03,44.29,29.47,0.6326530612244899,8.77295918367347,0.8928571428571429,never
Rhode Island,2008,12.58,46.48,27.54,1.0892857142857142,10.201530612244898,1.6147959183673475,never
South Carolina,2008,12.06,44.59,31.97,0.9923469387755104,9.709183673469388,1.594387755102041,never
South Dakota,2008,14.66,50,28.79,1.1862244897959184,10.558673469387756,1.533163265306123,never
Tennessee,2008,13.81,45.78,34.3,1.1326530612244896,9.612244897959183,1.5535714285714277,never
Texas,2008,10.5,38.85,28.21,0.5790816326530611,8.043367346938776,0.9566326530612245,never
Utah,2008,7.45,24.03,18.13,0.903061224489796,5.63265306122449,1.4770408163265305,never
Vermont,2008,14.68,46.48,27.73,1.201530612244898,9.642857142857142,1.6862244897959182,never
Virginia,2008,11.75,40.38,26.78,1.0331632653061222,8.75765306122449,1.5892857142857144,never
Washington,2008,12.61,40.67,26.51,1.0790816326530615,8.625,1.530612244897959,before
West Virginia,2008,16.65,53.43,36.52,1.2576530612244903,10.941326530612246,1.7729591836734702,never
Wisconsin,2008,14.37,46.55,31.39,1.173469387755102,9.673469387755103,1.6734693877551026,never
Wyoming,2008,19.37,51.38,34.31,1.3647959183673473,9.744897959183675,1.8392857142857135,never
Alabama,2009,13.21,45.49,33.35,1.0484693877551023,9.635204081632654,1.6377551020408168,never
Alaska,2009,13.51,44.53,28.9,1.1785714285714288,9.420918367346939,1.6352040816326532,before
Arizona,2009,10.1,39.76,25.39,1.0408163265306123,9.084183673469388,1.5969387755102045,never
Arkansas,2009,14.93,47.63,35.86,1.1964285714285714,9.869897959183673,1.7448979591836744,never
California,2009,9.46,34.35,22.46,0.6224489795918366,7.155612244897958,0.8928571428571429,before
Colorado,2009,13.22,43.71,26.45,1.1020408163265303,9.255102040816327,1.4999999999999998,before
Connecticut,2009,10.92,41.56,24.65,1.0714285714285712,9.252551020408164,1.5076530612244898,never
Delaware,2009,12.99,45.48,29.67,1.1173469387755104,9.737244897959185,1.6658163265306116,never
Florida,2009,10.54,38.38,26.81,0.6224489795918366,7.905612244897958,0.926020408163266,never
Georgia,2009,11.64,40.79,29.25,1.068877551020408,8.903061224489795,1.663265306122449,never
Hawaii,2009,10.01,37.13,21.34,1.1479591836734695,8.469387755102042,1.4668367346938775,never
Idaho,2009,10.69,39.77,26.91,1.0153061224489797,8.816326530612246,1.471938775510204,never
Illinois,2009,12.41,44.18,28.43,0.6122448979591838,8.89795918367347,0.943877551020408,never
Indiana,2009,13.92,46.49,31.85,1.1658163265306123,9.818877551020408,1.5561224489795913,never
Iowa,2009,12.36,44.12,30.07,1.068877551020408,9.543367346938775,1.522959183673469,never
Kansas,2009,13.09,47.48,29.98,1.201530612244898,10.318877551020407,1.6887755102040811,never
Kentucky,2009,16.82,52.71,38.37,1.3239795918367345,10.732142857142858,1.7678571428571428,never
Louisiana,2009,10.6,41.14,31.46,0.9974489795918368,9.173469387755102,1.5969387755102045,never
Maine,2009,12.06,47.69,29.32,1.0994897959183676,10.561224489795919,1.5790816326530606,before
Maryland,2009,8.67,35.56,23.96,0.8801020408163268,8.260204081632653,1.533163265306123,never
Massachusetts,2009,10.47,41.4,23.82,0.9974489795918368,9.311224489795919,1.4413265306122454,before
Michigan,2009,12.89,45.9,30.12,0.6505102040816328,9.239795918367347,0.961734693877551,never
Minnesota,2009,12.39,47.46,26.19,1.0663265306122454,10.385204081632653,1.533163265306122,never
Mississippi,2009,12.02,43.4,32.23,1.0637755102040816,9.436224489795917,1.6301020408163258,never
Missouri,2009,14.52,47.29,32.61,1.1326530612244896,9.836734693877553,1.6428571428571423,never
Montana,2009,15.59,49.18,30.06,1.1760204081632657,10.025510204081632,1.6045918367346927,never
Nebraska,2009,12.22,42.3,28.8,1.1198979591836737,9.142857142857144,1.584183673469388,never
Nevada,2009,11.98,40.45,28.85,1.209183673469388,8.760204081632653,1.7806122448979593,before
New Hampshire,2009,12.51,45.08,27.42,1.0714285714285712,9.834183673469386,1.5025510204081634,never
New Jersey,2009,9.81,38.33,24.6,1.045918367346939,8.653061224489795,1.645408163265306,never
New Mexico,2009,12.8,42.52,25.61,1.1581632653061227,9.091836734693878,1.5153061224489799,never
New York,2009,10.73,39.23,23.63,0.64030612244898,8.089285714285715,0.9183673469387759,never
North Carolina,2009,11.95,43.64,31.73,1.0204081632653061,9.525510204081634,1.6607142857142851,never
North Dakota,2009,13.46,46.37,28.91,1.186224489795918,9.872448979591837,1.5561224489795922,never
Ohio,2009,14.04,49.55,31.75,0.6530612244897956,9.882653061224488,0.9668367346938773,never
Oklahoma,2009,13.74,48.47,35.09,1.2984693877551021,10.510204081632654,1.8903061224489806,never
Oregon,2009,14.86,45.17,29.52,1.1658163265306118,9.234693877551022,1.609693877551021,before
Pennsylvania,2009,11.94,44.57,29.58,0.5867346938775512,9.107142857142858,0.969387755102041,never
Rhode Island,2009,10.25,41.54,25.36,1.0306122448979589,9.533163265306124,1.6147959183673475,never
South Carolina,2009,11.61,44.19,31.51,1.0127551020408165,9.704081632653063,1.6709183673469399,never
South Dakota,2009,14.88,49.5,30.13,1.2142857142857146,10.293367346938775,1.5663265306122451,never
Tennessee,2009,12.42,46.91,33.97,1.0765306122448977,10.216836734693876,1.6607142857142851,never
Texas,2009,10,38.34,27.42,0.5765306122448979,8.012755102040815,0.9770408163265302,never
Utah,2009,6.66,24.93,18.73,0.9005102040816327,6.107142857142858,1.4311224489795917,never
Vermont,2009,12.63,44.41,26.55,1.1530612244897958,9.591836734693876,1.6045918367346936,never
Virginia,2009,11.67,41.6,27.09,1.0153061224489797,9.035714285714286,1.5663265306122451,never
Washington,2009,11.81,41.62,26.38,1.0051020408163265,9.061224489795917,1.4770408163265305,before
West Virginia,2009,16.86,54.24,38.41,1.280612244897959,11.112244897959185,1.8418367346938773,never
Wisconsin,2009,12.76,45.36,29.71,1.1147959183673468,9.803571428571429,1.645408163265306,never
Wyoming,2009,18.44,49.8,33.57,1.4285714285714282,9.614795918367346,1.7602040816326527,never
Alabama,2010,11.89,44.3,33.29,1.051020408163265,9.721938775510203,1.7678571428571437,never
Alaska,2010,13.27,45.63,31.89,1.2219387755102038,9.885204081632653,1.9591836734693877,before
Arizona,2010,11.52,37.75,25.96,1.125,8.170918367346939,1.6989795918367347,never
Arkansas,2010,13.76,45.35,34.08,1.1836734693877549,9.58673469387755,1.7474489795918362,never
California,2010,9.06,33.93,21.13,0.5688775510204083,7.130102040816327,0.9285714285714287,before
Colorado,2010,12.37,42.57,25.94,1.1454081632653057,9.232142857142856,1.6403061224489794,before
Connecticut,2010,10.81,41.34,24.18,1.051020408163265,9.244897959183673,1.7270408163265305,never
Delaware,2010,12.53,42.17,28.8,1.0892857142857142,9.028061224489797,1.7806122448979584,never
Florida,2010,10.43,37.56,26.24,0.5790816326530611,7.742346938775511,0.9311224489795915,never
Georgia,2010,11.52,40.39,26.51,1.0739795918367345,8.831632653061225,1.6836734693877555,never
Hawaii,2010,10.04,36.8,21.74,1.1122448979591835,8.408163265306122,1.533163265306122,never
Idaho,2010,11.85,41.7,27.43,1.00765306122449,9.022959183673471,1.6836734693877555,never
Illinois,2010,10.94,44.05,28.3,0.6198979591836739,9.262755102040817,0.9744897959183675,never
Indiana,2010,12.22,47.39,30.12,1.0459183673469388,10.41326530612245,1.6428571428571423,never
Iowa,2010,13.33,45.03,30.45,1.1275510204081634,9.58673469387755,1.7627551020408172,never
Kansas,2010,13.48,44.15,30.33,1.181122448979592,9.400510204081634,1.7117346938775513,never
Kentucky,2010,15.04,48.42,35.88,1.2040816326530615,10.025510204081634,1.8367346938775517,never
Louisiana,2010,10.86,41.88,30.41,0.9770408163265306,9.283163265306122,1.7244897959183678,never
Maine,2010,12.46,47.07,28.1,1.137755102040816,10.313775510204081,1.6989795918367347,before
Maryland,2010,9.26,35.94,24.01,0.9974489795918368,8.301020408163264,1.7984693877551023,never
Massachusetts,2010,10.39,42.39,22.65,0.9591836734693877,9.60204081632653,1.5076530612244898,before
Michigan,2010,11.91,45.35,29.77,0.614795918367347,9.331632653061225,0.9974489795918368,never
Minnesota,2010,11.18,46.96,25.92,0.9974489795918368,10.48469387755102,1.5280612244897964,never
Mississippi,2010,13.54,46.86,35.19,1.1836734693877553,9.997448979591836,1.8647959183673466,never
Missouri,2010,15.85,47.58,34.55,1.2780612244897964,9.670918367346937,1.8316326530612235,never
Montana,2010,16.34,47.95,31.19,1.2602040816326534,9.56122448979592,1.7602040816326536,never
Nebraska,2010,12.12,42.2,28.62,1.0586734693877553,9.079081632653063,1.6862244897959182,never
Nevada,2010,9.93,39.62,27.74,1.1301020408163265,9.061224489795919,1.8214285714285716,before
