"Table 9. Alcohol Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2013 and 2014 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,,,,,,,
Order,State,12 or Older Estimate,12 or Older 95% CI (Lower),12 or Older 95% CI (Upper),12-17 Estimate,12-17 95% CI (Lower),12-17 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper),18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper)
1,Total U.S.,52.42%,51.91%,52.94%,11.55%,11.13%,11.99%,59.60%,58.84%,60.35%,56.18%,55.56%,56.81%,56.68%,56.13%,57.23%
2,Northeast,57.80%,56.85%,58.75%,13.19%,12.36%,14.06%,63.79%,62.47%,65.09%,61.82%,60.64%,62.99%,62.10%,61.06%,63.13%
3,Midwest,55.14%,54.37%,55.91%,11.31%,10.68%,11.97%,63.11%,62.03%,64.18%,59.21%,58.24%,60.16%,59.77%,58.93%,60.62%
4,South,48.74%,48.00%,49.49%,10.87%,10.32%,11.44%,56.75%,55.76%,57.73%,52.06%,51.13%,52.99%,52.74%,51.92%,53.56%
5,West,51.67%,50.73%,52.60%,11.71%,10.93%,12.54%,57.82%,56.51%,59.11%,55.59%,54.42%,56.75%,55.92%,54.89%,56.95%
6,Alabama,44.72%,41.56%,47.92%,10.53%,8.69%,12.71%,51.36%,47.49%,55.21%,47.74%,43.83%,51.67%,48.26%,44.80%,51.75%
7,Alaska,54.02%,51.09%,56.91%,9.22%,6.96%,12.13%,59.65%,55.49%,63.68%,59.05%,55.33%,62.67%,59.15%,55.89%,62.33%
8,Arizona,51.80%,48.70%,54.89%,11.90%,9.89%,14.25%,58.02%,54.09%,61.84%,55.87%,52.01%,59.65%,56.18%,52.77%,59.54%
9,Arkansas,42.45%,39.57%,45.38%,9.90%,8.08%,12.08%,55.03%,51.17%,58.84%,44.40%,40.88%,47.99%,45.95%,42.80%,49.13%
10,California,50.68%,49.25%,52.11%,12.01%,10.76%,13.39%,57.67%,55.56%,59.76%,54.28%,52.48%,56.08%,54.81%,53.24%,56.37%
11,Colorado,61.56%,58.69%,64.34%,14.25%,11.73%,17.22%,67.46%,63.83%,70.89%,66.24%,62.71%,69.61%,66.42%,63.29%,69.41%
12,Connecticut,59.92%,56.86%,62.90%,12.77%,10.28%,15.75%,65.58%,61.31%,69.62%,64.68%,60.93%,68.26%,64.80%,61.44%,68.03%
13,Delaware,56.59%,53.51%,59.62%,10.61%,8.76%,12.80%,63.46%,59.59%,67.16%,60.58%,56.82%,64.22%,60.99%,57.63%,64.25%
14,District of Columbia,68.03%,65.22%,70.71%,12.63%,10.25%,15.46%,72.88%,68.80%,76.61%,70.87%,67.41%,74.11%,71.23%,68.27%,74.02%
15,Florida,53.21%,51.54%,54.87%,12.26%,10.96%,13.70%,58.29%,56.13%,60.41%,56.71%,54.68%,58.73%,56.91%,55.10%,58.71%
16,Georgia,48.62%,45.68%,51.58%,10.60%,8.82%,12.69%,53.79%,50.25%,57.29%,52.80%,49.13%,56.45%,52.95%,49.70%,56.17%
17,Hawaii,49.57%,46.47%,52.68%,11.20%,9.19%,13.59%,59.13%,54.79%,63.34%,52.20%,48.43%,55.93%,53.13%,49.75%,56.48%
18,Idaho,47.12%,44.17%,50.10%,10.79%,8.87%,13.07%,50.04%,46.19%,53.89%,51.80%,48.13%,55.46%,51.54%,48.26%,54.81%
19,Illinois,55.55%,53.90%,57.20%,10.98%,9.69%,12.42%,61.47%,59.07%,63.82%,60.12%,58.06%,62.14%,60.31%,58.49%,62.11%
20,Indiana,51.08%,47.97%,54.18%,11.44%,9.53%,13.67%,61.73%,58.01%,65.31%,54.34%,50.53%,58.10%,55.45%,52.04%,58.82%
21,Iowa,56.15%,53.17%,59.08%,10.81%,8.79%,13.24%,68.29%,64.59%,71.77%,59.52%,55.79%,63.13%,60.84%,57.56%,64.02%
22,Kansas,53.78%,50.84%,56.71%,11.18%,9.32%,13.36%,61.27%,57.46%,64.94%,58.07%,54.41%,61.65%,58.57%,55.31%,61.75%
23,Kentucky,42.49%,39.51%,45.53%,9.02%,7.30%,11.11%,55.07%,50.98%,59.09%,44.42%,40.78%,48.13%,45.94%,42.68%,49.24%
24,Louisiana,49.13%,46.16%,52.11%,12.35%,10.27%,14.78%,55.97%,51.96%,59.90%,52.57%,48.89%,56.24%,53.09%,49.82%,56.33%
25,Maine,59.07%,56.01%,62.05%,11.86%,9.78%,14.31%,66.39%,62.69%,69.89%,62.82%,59.16%,66.34%,63.25%,59.93%,66.44%
26,Maryland,58.04%,54.99%,61.03%,12.54%,10.52%,14.88%,63.41%,59.30%,67.34%,62.51%,58.83%,66.05%,62.64%,59.31%,65.85%
27,Massachusetts,62.11%,59.20%,64.95%,13.30%,11.10%,15.86%,70.15%,66.45%,73.60%,66.05%,62.48%,69.44%,66.66%,63.49%,69.68%
28,Michigan,54.52%,52.87%,56.17%,11.56%,10.22%,13.06%,63.02%,60.70%,65.29%,58.37%,56.31%,60.40%,59.06%,57.24%,60.85%
29,Minnesota,58.77%,55.74%,61.73%,10.67%,8.81%,12.86%,64.72%,60.85%,68.41%,63.60%,59.90%,67.15%,63.75%,60.44%,66.95%
30,Mississippi,42.10%,39.13%,45.14%,9.81%,8.07%,11.89%,52.67%,48.71%,56.61%,44.46%,40.73%,48.24%,45.73%,42.44%,49.06%
31,Missouri,50.85%,47.76%,53.93%,10.91%,9.04%,13.12%,60.04%,56.21%,63.75%,54.13%,50.35%,57.86%,54.98%,51.60%,58.31%
32,Montana,58.39%,55.19%,61.53%,11.19%,9.22%,13.52%,65.01%,61.42%,68.43%,62.51%,58.58%,66.28%,62.86%,59.37%,66.23%
33,Nebraska,57.23%,54.28%,60.12%,10.53%,8.61%,12.82%,64.70%,60.71%,68.50%,61.82%,58.21%,65.29%,62.25%,59.01%,65.39%
34,Nevada,54.64%,51.52%,57.72%,13.59%,11.29%,16.28%,58.31%,54.17%,62.35%,59.05%,55.27%,62.72%,58.95%,55.53%,62.27%
35,New Hampshire,64.36%,61.37%,67.25%,14.63%,12.42%,17.16%,70.97%,67.25%,74.42%,68.82%,65.21%,72.22%,69.11%,65.85%,72.19%
36,New Jersey,56.95%,54.11%,59.76%,14.31%,12.14%,16.78%,60.74%,57.07%,64.29%,61.45%,57.96%,64.83%,61.36%,58.23%,64.40%
37,New Mexico,48.54%,45.32%,51.77%,9.71%,7.93%,11.83%,55.85%,51.95%,59.67%,52.18%,48.20%,56.13%,52.72%,49.18%,56.24%
38,New York,56.11%,54.47%,57.74%,12.86%,11.47%,14.38%,61.14%,58.71%,63.51%,60.04%,58.02%,62.03%,60.21%,58.42%,61.96%
39,North Carolina,47.02%,44.13%,49.94%,10.17%,8.47%,12.16%,55.22%,51.67%,58.72%,50.15%,46.59%,53.70%,50.87%,47.69%,54.04%
40,North Dakota,58.79%,56.02%,61.50%,10.92%,8.90%,13.34%,70.00%,66.31%,73.44%,61.67%,58.19%,65.04%,63.20%,60.18%,66.11%
41,Ohio,53.81%,52.10%,55.51%,11.01%,9.75%,12.40%,61.96%,59.53%,64.34%,57.71%,55.60%,59.80%,58.31%,56.43%,60.17%
42,Oklahoma,48.90%,45.80%,52.01%,10.89%,9.00%,13.13%,59.13%,55.28%,62.87%,51.96%,48.14%,55.77%,53.05%,49.63%,56.44%
43,Oregon,57.16%,54.02%,60.24%,12.92%,10.92%,15.22%,62.92%,59.16%,66.53%,61.12%,57.34%,64.78%,61.36%,57.94%,64.68%
44,Pennsylvania,57.12%,55.37%,58.85%,12.87%,11.46%,14.43%,64.42%,62.11%,66.68%,60.84%,58.68%,62.95%,61.34%,59.43%,63.20%
45,Rhode Island,57.82%,54.75%,60.83%,13.21%,10.91%,15.90%,65.30%,61.14%,69.23%,61.28%,57.56%,64.87%,61.92%,58.60%,65.14%
46,South Carolina,48.05%,45.18%,50.93%,9.63%,7.93%,11.64%,58.52%,54.53%,62.40%,50.77%,47.27%,54.27%,51.89%,48.75%,55.02%
47,South Dakota,55.21%,52.26%,58.12%,9.29%,7.53%,11.41%,64.39%,60.63%,67.97%,59.30%,55.63%,62.86%,60.06%,56.81%,63.22%
48,Tennessee,42.98%,39.93%,46.08%,9.35%,7.72%,11.28%,52.99%,48.68%,57.26%,45.34%,41.66%,49.07%,46.42%,43.08%,49.80%
49,Texas,47.27%,45.72%,48.83%,10.81%,9.60%,12.15%,56.11%,53.94%,58.26%,50.88%,48.91%,52.86%,51.71%,49.98%,53.44%
50,Utah,31.90%,29.08%,34.84%,6.76%,5.14%,8.84%,36.61%,32.58%,40.83%,35.21%,31.52%,39.09%,35.48%,32.29%,38.80%
51,Vermont,61.20%,58.15%,64.16%,13.76%,11.35%,16.60%,71.50%,67.73%,74.99%,64.35%,60.62%,67.90%,65.40%,62.11%,68.56%
52,Virginia,52.75%,49.88%,55.61%,11.20%,9.47%,13.21%,62.04%,58.39%,65.56%,56.05%,52.52%,59.51%,56.91%,53.77%,60.00%
53,Washington,53.71%,50.82%,56.58%,10.44%,8.66%,12.53%,59.03%,55.15%,62.81%,57.87%,54.33%,61.34%,58.03%,54.87%,61.13%
