"Table 3. Marijuana Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2013 and 2014 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,,,,,,,
Order,State,12 or Older Estimate,12 or Older 95% CI (Lower),12 or Older 95% CI (Upper),12-17 Estimate,12-17 95% CI (Lower),12-17 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper),18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper)
1,Total U.S.,7.96%,7.74%,8.19%,7.22%,6.88%,7.57%,19.32%,18.75%,19.91%,6.11%,5.85%,6.38%,8.04%,7.79%,8.29%
2,Northeast,8.58%,8.13%,9.06%,7.68%,7.08%,8.33%,21.19%,20.13%,22.30%,6.60%,6.09%,7.14%,8.67%,8.19%,9.18%
3,Midwest,7.50%,7.15%,7.87%,6.64%,6.18%,7.13%,19.23%,18.40%,20.08%,5.61%,5.22%,6.04%,7.60%,7.22%,7.99%
4,South,6.74%,6.44%,7.07%,6.31%,5.88%,6.78%,17.20%,16.47%,17.95%,5.02%,4.67%,5.40%,6.79%,6.46%,7.14%
5,West,9.84%,9.33%,10.37%,8.85%,8.12%,9.63%,21.30%,20.20%,22.45%,7.93%,7.33%,8.57%,9.94%,9.39%,10.52%
6,Alabama,5.57%,4.51%,6.86%,4.98%,3.88%,6.37%,15.04%,12.55%,17.93%,4.03%,2.97%,5.44%,5.63%,4.51%,7.00%
7,Alaska,11.85%,10.14%,13.81%,9.19%,7.43%,11.31%,21.30%,18.22%,24.74%,10.42%,8.46%,12.78%,12.16%,10.32%,14.28%
8,Arizona,8.80%,7.34%,10.50%,8.30%,6.67%,10.28%,20.04%,16.99%,23.49%,6.90%,5.35%,8.87%,8.85%,7.31%,10.67%
9,Arkansas,6.70%,5.54%,8.09%,6.22%,4.89%,7.88%,16.21%,13.64%,19.17%,5.15%,3.94%,6.69%,6.75%,5.53%,8.23%
10,California,9.20%,8.46%,10.01%,8.74%,7.67%,9.94%,21.05%,19.31%,22.90%,7.09%,6.23%,8.06%,9.25%,8.45%,10.12%
11,Colorado,14.93%,13.03%,17.05%,12.56%,10.30%,15.22%,31.24%,27.66%,35.05%,12.45%,10.28%,15.00%,15.17%,13.13%,17.46%
12,Connecticut,8.50%,7.08%,10.17%,7.91%,6.32%,9.86%,22.41%,18.96%,26.29%,6.34%,4.89%,8.18%,8.56%,7.07%,10.33%
13,Delaware,8.23%,6.90%,9.78%,8.22%,6.66%,10.11%,21.11%,18.09%,24.49%,6.09%,4.71%,7.83%,8.23%,6.83%,9.88%
14,District of Columbia,12.60%,10.84%,14.59%,10.56%,8.56%,12.95%,24.72%,21.26%,28.54%,10.14%,8.21%,12.45%,12.72%,10.88%,14.80%
15,Florida,7.58%,6.84%,8.40%,7.51%,6.51%,8.65%,20.32%,18.58%,22.17%,5.70%,4.89%,6.65%,7.59%,6.80%,8.45%
16,Georgia,7.76%,6.50%,9.24%,6.06%,4.81%,7.61%,17.64%,15.05%,20.57%,6.24%,4.89%,7.94%,7.96%,6.61%,9.55%
17,Hawaii,7.90%,6.45%,9.64%,7.65%,6.04%,9.65%,15.87%,13.07%,19.14%,6.68%,5.12%,8.66%,7.92%,6.40%,9.78%
18,Idaho,6.34%,5.26%,7.62%,6.39%,5.05%,8.05%,14.28%,11.94%,16.98%,4.96%,3.82%,6.43%,6.34%,5.19%,7.72%
19,Illinois,7.64%,6.89%,8.46%,6.75%,5.78%,7.87%,19.62%,17.73%,21.66%,5.74%,4.93%,6.66%,7.73%,6.94%,8.61%
20,Indiana,7.53%,6.34%,8.92%,6.52%,5.20%,8.16%,20.31%,17.33%,23.65%,5.38%,4.18%,6.92%,7.64%,6.38%,9.12%
21,Iowa,5.02%,4.02%,6.24%,5.17%,3.93%,6.78%,14.01%,11.46%,17.02%,3.40%,2.46%,4.69%,5.00%,3.97%,6.28%
22,Kansas,6.34%,5.22%,7.68%,5.85%,4.62%,7.38%,15.11%,12.67%,17.92%,4.81%,3.65%,6.30%,6.39%,5.21%,7.82%
23,Kentucky,6.75%,5.54%,8.20%,5.63%,4.45%,7.10%,17.49%,14.66%,20.73%,5.09%,3.85%,6.71%,6.86%,5.58%,8.41%
24,Louisiana,6.11%,5.01%,7.44%,5.55%,4.32%,7.11%,15.99%,13.49%,18.86%,4.42%,3.32%,5.86%,6.17%,5.02%,7.58%
25,Maine,12.67%,10.81%,14.80%,9.90%,8.01%,12.17%,28.38%,24.83%,32.22%,10.77%,8.70%,13.26%,12.91%,10.93%,15.19%
26,Maryland,8.55%,7.22%,10.11%,8.05%,6.46%,10.00%,23.42%,20.12%,27.07%,6.20%,4.84%,7.92%,8.61%,7.20%,10.25%
27,Massachusetts,11.75%,10.09%,13.64%,8.88%,7.23%,10.87%,28.74%,25.15%,32.63%,9.08%,7.30%,11.25%,12.01%,10.25%,14.03%
28,Michigan,10.18%,9.29%,11.15%,8.09%,6.98%,9.35%,23.17%,21.18%,25.28%,8.20%,7.17%,9.36%,10.40%,9.44%,11.45%
29,Minnesota,7.28%,6.07%,8.70%,6.75%,5.35%,8.48%,19.74%,16.79%,23.08%,5.32%,4.10%,6.88%,7.34%,6.07%,8.84%
30,Mississippi,5.85%,4.82%,7.08%,5.60%,4.43%,7.06%,16.39%,13.72%,19.46%,3.95%,2.96%,5.25%,5.87%,4.79%,7.18%
31,Missouri,7.98%,6.61%,9.60%,6.45%,5.13%,8.09%,21.68%,18.44%,25.31%,5.85%,4.47%,7.63%,8.14%,6.69%,9.86%
32,Montana,10.04%,8.47%,11.86%,8.30%,6.73%,10.19%,20.57%,17.74%,23.72%,8.49%,6.74%,10.63%,10.20%,8.53%,12.15%
33,Nebraska,5.79%,4.77%,7.01%,5.54%,4.34%,7.05%,16.19%,13.49%,19.31%,3.97%,2.99%,5.25%,5.81%,4.74%,7.11%
34,Nevada,7.76%,6.38%,9.42%,7.97%,6.42%,9.85%,18.01%,15.11%,21.32%,6.13%,4.65%,8.03%,7.74%,6.28%,9.51%
35,New Hampshire,11.51%,9.92%,13.30%,9.83%,8.10%,11.88%,30.09%,26.55%,33.88%,8.78%,7.07%,10.87%,11.66%,9.98%,13.59%
36,New Jersey,6.30%,5.24%,7.56%,6.36%,5.13%,7.86%,16.60%,14.12%,19.40%,4.74%,3.65%,6.13%,6.29%,5.18%,7.63%
37,New Mexico,9.56%,7.95%,11.45%,7.98%,6.41%,9.90%,19.32%,16.32%,22.73%,8.06%,6.28%,10.29%,9.73%,8.01%,11.77%
38,New York,8.52%,7.73%,9.38%,7.75%,6.74%,8.90%,19.57%,17.78%,21.50%,6.70%,5.84%,7.68%,8.60%,7.75%,9.52%
39,North Carolina,6.70%,5.54%,8.08%,6.51%,5.19%,8.13%,16.19%,13.68%,19.06%,5.15%,3.94%,6.70%,6.72%,5.50%,8.19%
40,North Dakota,5.77%,4.78%,6.96%,5.60%,4.30%,7.25%,14.05%,11.70%,16.79%,3.95%,2.99%,5.19%,5.79%,4.76%,7.03%
41,Ohio,6.93%,6.21%,7.73%,6.04%,5.13%,7.08%,17.89%,16.13%,19.79%,5.24%,4.45%,6.17%,7.02%,6.25%,7.88%
42,Oklahoma,6.22%,5.05%,7.65%,5.52%,4.33%,7.03%,15.76%,13.19%,18.72%,4.61%,3.38%,6.26%,6.30%,5.06%,7.82%
43,Oregon,12.38%,10.60%,14.41%,10.19%,8.38%,12.34%,24.85%,21.64%,28.38%,10.68%,8.69%,13.06%,12.59%,10.70%,14.76%
44,Pennsylvania,7.28%,6.57%,8.07%,7.00%,6.03%,8.11%,19.36%,17.54%,21.33%,5.34%,4.57%,6.24%,7.31%,6.55%,8.15%
45,Rhode Island,12.75%,11.02%,14.72%,10.69%,8.76%,12.99%,28.90%,25.05%,33.08%,9.92%,8.06%,12.16%,12.94%,11.10%,15.04%
46,South Carolina,6.57%,5.41%,7.97%,6.16%,4.90%,7.70%,16.89%,14.21%,19.96%,4.88%,3.70%,6.41%,6.61%,5.38%,8.10%
47,South Dakota,4.81%,3.89%,5.93%,5.32%,4.11%,6.84%,13.02%,10.64%,15.85%,3.30%,2.42%,4.50%,4.76%,3.80%,5.95%
48,Tennessee,5.54%,4.51%,6.79%,5.70%,4.48%,7.21%,14.72%,12.09%,17.80%,4.01%,3.01%,5.32%,5.53%,4.44%,6.85%
49,Texas,5.94%,5.34%,6.60%,6.12%,5.27%,7.11%,15.06%,13.53%,16.73%,4.21%,3.56%,4.97%,5.92%,5.28%,6.63%
50,Utah,5.58%,4.53%,6.86%,5.42%,4.18%,7.00%,11.55%,9.29%,14.28%,4.25%,3.18%,5.65%,5.61%,4.49%,6.98%
51,Vermont,13.24%,11.45%,15.26%,11.40%,9.35%,13.84%,30.60%,26.90%,34.57%,10.42%,8.44%,12.79%,13.40%,11.50%,15.56%
52,Virginia,6.86%,5.77%,8.14%,5.89%,4.67%,7.39%,17.85%,15.13%,20.94%,5.12%,4.00%,6.53%,6.96%,5.81%,8.31%
53,Washington,12.79%,11.03%,14.79%,10.06%,8.21%,12.28%,24.47%,21.20%,28.06%,11.21%,9.25%,13.53%,13.06%,11.19%,15.20%
54,West Virginia,6.30%,5.19%,7.64%,5.60%,4.38%,7.13%,16.99%,14.06%,20.39%,4.75%,3.62%,6.21%,6.37%,5.20%,7.78%
55,Wisconsin,6.46%,5.30%,7.86%,7.18%,5.73%,8.96%,17.50%,14.64%,20.79%,4.55%,3.39%,6.07%,6.39%,5.17%,7.87%
56,Wyoming,6.32%,5.17%,7.70%,6.19%,4.85%,7.86%,16.00%,13.31%,19.11%,4.67%,3.50%,6.20%,6.33%,5.12%,7.80%
